"dota"
{
"DOTA_Accept"	"ยอมรับ"
"npc_dota_hero_ember_spirit_hype"	"รวดเร็วและยากที่จะเดาได้ Ember Spirit จู่โจมศัตรูรอบข้างพร้อมกันอย่างว่องไว แล้วใช้โซ่เพลิงผูกพวกเขาไว้ด้วยกัน เคลื่อนที่ข้ามสนามรบอย่างว่องไวโดยการไปโผล่ที่ร่างเงาซึ่งระเบิดได้ น้อยคนนักที่จะหนีหรือจับทางไฟของเขาได้"
"npc_dota_hero_enigma_hype"	"ผู้คนมากมายหวาดกลัวสกิลอัลติเมทของเขา Enigma เสกหลุมดำที่สามารถตรึงกองทัพศัตรูเอาไว้ เพื่อให้เพื่อนร่วมทีมของเขาทำลายพวกมัน ด้วยกองทัพ Eidolon ที่คอยอยู่เคียงข้าง เขาสามารถโจมตีศัตรูอย่างหนักหน่วงจากระยะไกล"
"npc_dota_hero_faceless_void_hype"	"เวลาเป็นทุกสิ่งของ Faceless Void เขาเร่งเวลาเพื่อเคลื่อนที่ไปยังอีกพื้นที่อย่างรวดเร็ว ควบคุมเวลาเพื่อหลบการโจมตี หยุดเวลาในพื้นที่เป็นวงกว้างเพื่อทำลายล้างศัตรู และถ่วงเวลาให้มากพอที่จะเก็บรวบรวมทรัพยากร เขาสามารถพัฒนาตัวเองให้แข็งแกร่งได้อย่างไม่น่าเชื่อ"
"npc_dota_hero_gyrocopter_hype"	"คลังกระสุนพร้อม Gyrocopter ถลาเข้าสู่สนามรบ ระเบิดศัตรูด้วยปืนใหญ่และถล่มพวกมันด้วยจรวดจำนวนมาก หากเขาสามารถทำตัวเองให้แข็งแกร่งได้มากพอ การบดขยี้ฝั่งตรงข้ามจะกลายเป็นเรื่องง่ายไปในทันที"
"npc_dota_hero_huskar_hype"	"ยิ่งพลังชีวิตต่ำลงเท่าไหร่ ความสามารถในการสังหารของ Huskar ก็จะยิ่งมากขึ้น ตัดพลังชีวิตของทั้งตัวเองและเป้าหมายได้ด้วยสกิลอัลติเมท เมื่อใกล้ตาย เขาสามารถขว้างหอกไฟโจมตีได้ด้วยความเร็วอันน่าสะพรึงกลัว"
"npc_dota_hero_keeper_of_the_light_hype"	"Keeper of the Light เป็นตัวช่วยที่ดีของทุกทีม ควบคุมมานาของทั้งเพื่อนร่วมทีมและฝั่งตรงข้าม เขาสามารถกวาดศัตรูตัวน้อยได้ด้วยคลื่นแห่งแสง จากนั้นก็เข้าสู่ร่างวิญญาณและรวบรวมทีมของพวกเขาเพื่อครอบครองสนามรบ"
"npc_dota_hero_kunkka_hype"	"Kunkka มักจะทำนายทิศทางที่ศัตรูจะมุ่งไปอยู่เสมอ เขาสามารถโจมตีตำแหน่งนั้นด้วยกระแสน้ำที่พุ่งขึ้นหรือเรือผีที่ผุพังได้ และหากการเล็งของเขาถูกต้อง ตัวเขาและเพื่อนร่วมทีมก็จะไม่มีปัญหาใด ๆ เลยในการเก็บกวาดสิ่งใดก็ตามที่เหลืออยู่"
"npc_dota_hero_legion_commander_hype"	"สวนสนามข้ามผ่านสมรภูมิ Legion Commander ท้าดวลศัตรูของเธอในการต่อสู้แบบหนึ่งต่อหนึ่ง การชนะดวลแต่ละครั้งจะทำให้พลังโจมตีของเธอเพิ่มมากขึ้น จนในที่สุดเธอจะกลายเป็นหญิงแกร่งทรหดเทียบเท่าทั้งกองทัพรวมกัน"
"npc_dota_hero_mirana_hype"	"หลังจากที่เธอเล็งยิงธนูสังหารมาจากระยะไกล Mirana จะต้องพร้อมกระโดดเข้าไปสู่สมรภูมิอยู่เสมอ เนื่องจากสามารถปกปิดพวกพ้องจากสายตาของเหล่าศัตรูได้ จึงรับประกันว่าทีมของเธอจะเคลื่อนที่ได้อย่างแนบเนียน"
"npc_dota_hero_ogre_magi_hype"	"ด้วยโอกาสที่จะเกิดผลซ้อนกันเวลาพวกเขาร่ายเวทแต่ละครั้ง โชคดีคือสิ่งเดียวที่ Ogre Magi ต้องการ เพื่อเผาศัตรูของเขาให้เป็นเถ้าถ่าน หรือเร่งพลังให้กับเพื่อนร่วมทีม และแน่นอนว่าโชคชะตาไม่ใช่สิ่งที่น่าไว้ใจสักเท่าไร..."
"npc_dota_hero_phoenix_hype"	"ด้วยการโฉบเข้าไปในการสู้รบ Phoenix เผาศัตรูและฟื้นฟูพลังชีวิตเพื่อนร่วมทีมด้วยพลังลำแสงแห่งดวงอาทิตย์ เมื่อถึงจังหวะเวลาที่ถูกต้อง มันสามารถเปลี่ยนร่างเป็นดวงอาทิตย์เพื่อเผาผลาญศัตรูรอบข้างก่อนที่จะปลดปล่อยระเบิดสตันที่สามารถฟื้นฟูความแข็งแกร่งของ Phoenix ให้กลับมาเต็มใหม่อีกครั้งได้"
"npc_dota_hero_puck_hype"	"Puck มีความสามารถพิเศษทำให้ศัตรูสับสนด้วยความขี้เล่นอันแสนร้ายกาจ ด้วยการเทเลพอร์ตระยะสั้นไปยังลูกแก้วที่สร้างความเสียหาย มันโจมตีศัตรูด้วยการปล่อยผงฝุ่นใบ้ออกมา กว่าศัตรูจะตั้งตัวได้ Puck ก็ได้หนีหายออกไปนานแล้ว"
"npc_dota_hero_pudge_hype"	"แต่ละครั้งที่ Pudge ค่อย ๆ เล็งและขว้างตะขอเกี่ยวออกไปนั้นสามารถสร้างความหวาดกลัวให้แก่ศัตรูได้ทุกครั้ง ตะขออันเป็นเอกลักษณ์นี้สามารถดึงศัตรูให้เข้ามาใกล้เพื่อนำมาชำแหละด้วยปังตอของเขา เขาจะได้รับพลังชีวิตและพลังโจมตีเพิ่มขึ้นทุกครั้งที่สังหารศัตรู และจะกลายเป็นนักฆ่าที่ไม่มีใครหยุดยั้งได้ในที่สุด"
"npc_dota_hero_queenofpain_hype"	"Queen of Pain จู่โจมโดยไม่มีการเตือนล่วงหน้า ทำลายศัตรูที่อยู่รวมกันด้วยเสียงกรีดร้องที่ทำให้หูหนวก หากมีใครรอดจากการจู่โจมนั้นมาได้ เธอก็จะทำให้พวกเขาหนีได้ช้าลงด้วยการปามีดสั้น ก่อนจะปลิดชีพพวกเขาทิ้ง"
"npc_dota_hero_razor_hype"	"Razor เข้าสู่สนามรบด้วยพายุฝนฟ้าคะนองที่สั่งใดดั่งใจ ปลดปล่อยวงแหวนไฟฟ้ากวาดออกไปย่างสดเหล่าศัตรู เขาเชื่อมต่อตัวเองกับเป้าหมายและดูดกลืนพลัง ก่อนจะใช้มันจัดการกับพวกเขา"
"npc_dota_hero_riki_hype"	"Riki ย่องเข้าสู่สมรภูมิ โดยที่เหล่าศัตรูไม่อาจสังเกตเห็น เขาเลือกจังหวะอย่างรอบคอบและจู่โจมภายใต้เขม่าควันที่ทำให้เป็นใบ้ สังหารศัตรูก่อนที่พวกมันจะรู้ตัวว่าเขาอยู่ที่นั่นเสียอีก"
"npc_dota_hero_sniper_hype"	"ความตายจากระยะไกลคือเรื่องถนัดของ Sniper เขาทำให้ศัตรูตื่นตัวด้วยการยิงรบกวนอย่างสม่ำเสมอ และเมื่อถึงเวลาที่เหมาะสม เขาก็เด็ดหัวพวกมันด้วยกระสุนสังหาร"
"npc_dota_hero_terrorblade_hype"	"สำหรับ Terrorblade ไม่มีสิ่งใดเป็นอย่างที่ตาเห็น เสกร่างเงาอันทรงพลังเพื่อหลอกลวงศัตรูและทำลายการป้องกันของพวกเขา โจรปีศาจตนนี้สามารถแลกเปลี่ยนพลังชีวิตของเขากับศัตรูหรือเพื่อนร่วมทีมเพื่อหลีกเลี่ยงความตาย และทำให้ศัตรูอ่อนแอลง"
"npc_dota_hero_shredder_hype"	"เข้าใจยากและคาดเดาไม่ได้ Timbersaw ตัดผ่านป่ามาตรงหน้าศัตรูของเขา ปลดปล่อยกรงจักรจำนวนมากออกมาชำแหละศัตรูเป็นชิ้น ๆ เขาพุ่งใส่ต้นไม้ใกล้เคียงด้วยโซ่ของเขา พร้อมกับจู่โจมศัตรูไปตลอดทาง"
"npc_dota_hero_ursa_hype"	"ในทุกครั้งที่เขาตะปบกรงเล็บ Ursa ทำให้ศัตรูอ่อนแอลงสำหรับการจู่โจมครั้งต่อไป สามารถเพิ่มความเร็วการโจมตีได้ในระยะเวลาอันสั้น และทำให้เหยื่อรอบตัวเคลื่อนที่ช้าลง เขาสามารถฉีกร่างของศัตรูออกเป็นชิ้นได้ในเวลาอันสั้น"
"npc_dota_hero_venomancer_hype"	"Venomancer นำความตายอันเชื่องช้ามาสู่ศัตรูของเขา แตกหน่อกองทัพจำนวนมหาศาลของผู้สังเกตการณ์ที่พ่นพิษได้เพื่อป้องกันพื้นที่ของเขา หากศัตรูเข้ามาใกล้ เขาก็สามารถปลดปล่อยควันพิษจำนวนมากออกมาทำให้ศัตรูหมดเรี่ยวแรง"
"npc_dota_hero_winter_wyvern_hype"	"Winter Wyvern โผบินเหนือท้องนภา ทำให้ศัตรูช้าลงด้วยการเผาผลาญจากความหนาวเหน็บในขณะที่เธอบินข้ามผ่านสนามรบ หากศัตรูโง่เขลาพอที่จะอยู่รวมตัวกัน เธอสามารถสาปศัตรูเหล่านั้นให้โจมตีพวกเดียวกันเองและสามารถยิงกระสุนน้ำแข็งใส่กลุ่มศัตรูได้อีกด้วย"
"npc_dota_hero_skeleton_king_hype"	"ย่างก้าวไปสู่ศัตรูโดยไม่เกรงกลัวใคร Wraith King สตันศัตรูและฟาดฟันพวกมันให้ยอมจำนนแก่เขา ถ้าหากศัตรูได้เปรียบ สกิลอัลติเมทของเขาทำให้สามารถกลับมาเกิดได้ใหม่อีกรอบ ทำให้กลับมามีโอกาสแกว่งดาบของเขาอีกครั้ง"
"DOTA_AbilityTooltip_Name"	"{s:name}"
"DOTA_AbilityTooltip_Level"	"เลเวล {s:level}"
"DOTA_AbilityTooltip_TargetType"	"ส่งผลต่อ: {s:targettype}"
"DOTA_AbilityTooltip_CastType"	"ประเภทสกิล: {s:casttype}"
"DOTA_AbilityTooltip_DamageType"	"ประเภทความเสียหาย: {s:damagetype}"
"DOTA_AbilityTooltip_SpellImmunityType"	"การป้องกันเวทโดยสมบูรณ์: {s:spellimmunity}"
"DOTA_AbilityTooltip_Description"	"{s:description}"
"DOTA_AbilityTooltip_ScepterDescription"	"{s:scepterdescription}"
"DOTA_AbilityTooltip_ExtraDescription"	"{s:extradescription}"
"DOTA_AbilityTooltip_Attributes"	"{s:attributes}"
"DOTA_AbilityTooltip_Cooldown"	"{s:cooldown}"
"DOTA_AbilityTooltip_ManaCost"	"{s:manacost}"
"DOTA_AbilityTooltip_Lore"	"{s:lore}"
"DOTA_AbilityTooltip_UpgradeLevel"	"อัปสกิลได้เมื่อฮีโร่ถึงเลเวล {d:upgradelevel}"
"DOTA_AbilityTooltip_BuildHeader"	"คู่มือสกิล"
"DOTA_AbilityTooltip_BuildComment"	"{s:buildcomment}"
"DOTA_PersonaTooltip_Title"	"{g:dota_persona:account_id}"
"DOTA_PersonaTooltip_TitlePro"	"{g:dota_persona_pro:account_id}"
"DOTA_PendingInvites"	"คำเชิญปาร์ตี้"
"DOTA_PendingInvitesTooltip_None"	"ไม่มีคำเชิญที่กำลังดำเนินการ"
"DOTA_PendingInvitesTooltip_1"	"1 คำเชิญ กำลังดำเนินการอยู่"
"DOTA_PendingInvitesTooltip_N"	"{d:pending_invite_count} คำเชิญ กำลังดำเนินการอยู่"
"DOTA_PendingInvitesTooltip_Leader"	"คลิกเพื่อจัดการคำเชิญ"
"DOTA_PendingInvitesTooltip_NonLeader"	"คลิกเพื่อดูคำเชิญ"
"DOTA_PendingInvitesCancelAll"	"ยกเลิกคำเชิญทั้งหมด"
"DOTA_PendingInvitesNotPartyLeader"	"เฉพาะหัวหน้าปาร์ตี้เท่านั้นที่สามารถจัดการคำเชิญได้"
"DOTA_ChatTab_NotInChannelMessage"	"ไม่มีใครได้ยินคุณ"
"DOTA_ChatTab_ToggleGlobal"	"แสดงข้อความจากแชนแนลนี้ในทุกแท็บ"
"DOTA_ChatTab_Close"	"ปิดแท็บนี้"
"DOTA_ChatTab_Leave"	"ออกจากแชนแนลนี้"
"DOTA_JoinChatChannel_Title"	"เข้าร่วมแชนแนล"
"DOTA_JoinChatChannel_Description"	"สร้างหรือเข้าร่วมแชนแนลสนทนา"
"DOTA_JoinChatChannel_AddToCurrentTab"	"เพิ่มไปยังแท็บปัจจุบัน '{s:current_tab_name}'"
"DOTA_JoinChatChannel_CreateNewTab"	"สร้างแท็บใหม่:"
"DOTA_Chat_ChannelName"	"{s:channel_name}"
"DOTA_Chat_ChannelMemberCount_Singular"	"1 สมาชิก"
"DOTA_Chat_ChannelMemberCount_Plural"	"{d:channel_member_count} สมาชิก"
"DOTA_EditChatTab_Title"	"ปรับเปลี่ยนแท็บสนทนา"
"DOTA_EditChatTab_Description"	"เลือกข้อความสนทนาที่ต้องการให้แสดงในทุกแท็บ"
"DOTA_EditChatTab_AddNewChannel"	"เพิ่มแชนแนลใหม่..."
"DOTA_EditChatTab_TabName"	"ชื่อแท็บ:"
"DOTA_EditChatTab_ChannelToggleDisabled"	"{s:target} ต้องมีอย่างน้อยหนึ่งแท็บเสมอ"
"DOTA_EditChatTab_Target"	"{s:target}"
"DOTA_Chat_TimestampFormat"	"{t:t:timestamp}"
"DOTA_Chat_Autocomplete_Title"	"{s:autocomplete_title}"
"DOTA_Chat_Autocomplete_NoMatches"	"ไม่พบคำสั่ง"
"DOTA_Chat_Autocomplete_WhisperFriends"	"กระซิบหาเพื่อน"
"DOTA_Chat_Autocomplete_InviteFriends"	"เชิญเพื่อน"
"DOTA_Chat_Autocomplete_Channels"	"แชนแนล"
"DOTA_Chat_Autocomplete_Commands"	"คำสั่ง"
"DOTA_Chat_Autocomplete_CommandName"	"/{s:command_name}"
"DOTA_Chat_Autocomplete_CommandDescription"	"{s:command_description}"
"dota_suggest_invite_format"	"โปรดเชิญ {s:invite_persona} เข้าสู่ปาร์ตี้"
"dota_suggest_invite_format_leader"	"โปรดเชิญ {s:invite_persona} เข้าสู่ปาร์ตี้ ( <a href=\"event:DOTAInviteToParty({s:invite_persona_steamid})\" class=\"InviteButton\">ส่งคำเชิญ</a> )"
"dota_suggest_invite_format_lobby"	"โปรดเชิญ {s:invite_persona} เข้าสู่ล็อบบี้"
"dota_suggest_invite_format_lobby_leader"	"โปรดเชิญ {s:invite_persona} เข้าสู่ล็อบบี้ ( <a href=\"event:DOTAInviteToLobby({s:invite_persona_steamid})\" class=\"InviteButton\">ส่งคำเชิญ</a> )"
"DOTA_ChatTarget_Format_Default"	"{s:target}"
"DOTA_ChatTarget_Prompt_Default"	"ถึง ({s:target}):"
"DOTA_ChatTarget_Format_Whisper"	"{s:persona}"
"DOTA_ChatTarget_Prompt_Whisper"	"ถึง [{s:persona}]:"
"DOTA_ChatTarget_Party"	"ปาร์ตี้"
"DOTA_ChatTarget_Lobby"	"ล็อบบี้"
"DOTA_ChatTarget_Team"	"ทีม"
"DOTA_ChatTarget_Guild"	"กิลด์"
"DOTA_ChatTarget_Fantasy"	"Fantasy"
"DOTA_ChatTarget_Console"	"คอนโซล"
"DOTA_ChatTarget_Whisper"	"กระซิบ"
"DOTA_ChatTarget_Invalid"	"ไม่มีแชนแนล"
"DOTA_ChatTarget_GameAll"	"ทั้งหมด"
"DOTA_ChatTarget_GameAllies"	"เพื่อนร่วมทีม"
"DOTA_ChatTarget_GameCoaching"	"การฝึกสอน"
"DOTA_ChatTarget_GameSpectator"	"ผู้เข้าชม"
"DOTA_ChatTargetMenu_Title"	"{s:target}"
"DOTA_ChatTargetMenu_ToggleEnabled"	"{s:toggle_enabled}"
"DOTA_ChatTargetMenu_NotActive"	"(ไม่ได้ใช้งาน)"
"DOTA_Chat_Placeholder"	"พิมพ์ที่นี่เพื่อสนทนา ใช้ '/' เพื่อสั่งคำสั่ง"
"DOTA_Chat_MissedMessages"	"{s:missed_message_count}"
"DOTA_ChatCommand_Party"	"p"
"DOTA_ChatCommand_Party_Name"	"ปาร์ตี้"
"DOTA_ChatCommand_Party_Description"	"แชทกับปาร์ตี้ปัจจุบัน"
"DOTA_ChatCommand_Lobby"	"l"
"DOTA_ChatCommand_Lobby_Name"	"ล็อบบี้"
"DOTA_ChatCommand_Lobby_Description"	"แชทกับล็อบบี้ปัจจุบัน"
"DOTA_ChatCommand_Channel"	"c"
"DOTA_ChatCommand_Channel_Name"	"แชนแนล"
"DOTA_ChatCommand_Channel_Description"	"แชทกับแชนแนลสนทนาที่ระบุ"
"DOTA_ChatCommand_Whisper"	"w"
"DOTA_ChatCommand_Whisper_Name"	"กระซิบ"
"DOTA_ChatCommand_Whisper_Description"	"กระซิบเป็นการส่วนตัวกับเพื่อน"
"DOTA_ChatCommand_Reply"	"r"
"DOTA_ChatCommand_Reply_Name"	"ตอบกลับ"
"DOTA_ChatCommand_Reply_Description"	"ตอบกลับการกระซิบเป็นการส่วนตัวที่ส่งมาจากเพื่อน"
"DOTA_ChatCommand_Help"	"?"
"DOTA_ChatCommand_Help_Name"	"วิธีใช้"
"DOTA_ChatCommand_Help_Description"	"แสดงวิธีใช้คำสั่งสนทนา"
"DOTA_ChatCommand_InviteToParty"	"partyinvite"
"DOTA_ChatCommand_InviteToParty_Name"	"เชิญเข้าสู่ปาร์ตี้"
"DOTA_ChatCommand_InviteToParty_Description"	"เชิญเพื่อนให้เข้าร่วมปาร์ตี้ปัจจุบัน"
"DOTA_ChatCommand_LeaveParty"	"leaveparty"
"DOTA_ChatCommand_LeaveParty_Name"	"ออกจากปาร์ตี้"
"DOTA_ChatCommand_LeaveParty_Description"	"ออกจากปาร์ตี้ปัจจุบัน"
"DOTA_ChatCommand_JoinChannel"	"joinchannel"
"DOTA_ChatCommand_JoinChannel_Name"	"เข้าร่วมแชนแนล"
"DOTA_ChatCommand_JoinChannel_Description"	"เข้าร่วมหรือสร้างแชนแนลสนทนา"
"DOTA_ChatCommand_LeaveChannel"	"leavechannel"
"DOTA_ChatCommand_LeaveChannel_Name"	"ออกจากแชนแนล"
"DOTA_ChatCommand_LeaveChannel_Description"	"ออกจากแชนแนลสนทนาที่ระบุ"
"DOTA_ChatCommand_GameAll"	"all"
"DOTA_ChatCommand_GameAll_Name"	"ทั้งหมด"
"DOTA_ChatCommand_GameAll_Description"	"สนทนากับผู้เล่นทุกคนในเกม"
"DOTA_ChatCommand_GameAllies"	"allies"
"DOTA_ChatCommand_GameAllies_Name"	"เพื่อนร่วมทีม"
"DOTA_ChatCommand_GameAllies_Description"	"สนนากับเพื่อนร่วมทีมของคุณ"
"DOTA_ChatCommand_GameCoaching"	"coach"
"DOTA_ChatCommand_GameCoaching_Name"	"การฝึกสอน"
"DOTA_ChatCommand_GameCoaching_Description"	"สนทนากับนักเรียนหรือผู้ฝึกสอนของคุณ"
"DOTA_ChatCommand_GameSpectator"	"spectator"
"DOTA_ChatCommand_GameSpectator_Name"	"ผู้เข้าชม"
"DOTA_ChatCommand_GameSpectator_Description"	"สนทนากับผู้เข้าชมคนอื่น ๆ"
"DOTA_ChatCommand_Clear"	"clear"
"DOTA_ChatCommand_Clear_Name"	"ล้าง"
"DOTA_ChatCommand_Clear_Description"	"ล้างการสนทนาทั้งหมดในแท็บนี้"
"DOTA_Chat_UnknownCommandMessage"	"ไม่ทราบคำสั่งสนทนา '{s:chat_command}'"
"DOTA_ChatHelp_Targets"	"เป้าหมาย"
"DOTA_ChatHelp_Commands"	"คำสั่ง"
"DOTA_ChatHelp_NameFormat"	"{s:command_name}:"
"DOTA_ChatHelp_CommandFormat"	"/{s:command}"
"DOTA_Chat_JoinedParty"	"เข้าร่วมปาร์ตี้: {s:party_members}"
"DOTA_Chat_LeftParty"	"ปาร์ตี้ถูกยุบ"
"DOTA_Chat_MemberJoinedParty"	"ผู้เล่นเข้าร่วมปาร์ตี้: {s:party_members}"
"DOTA_Chat_MemberLeftParty"	"ผู้เล่นออกจากปาร์ตี้: {s:party_members}"
"DOTA_Chat_InvitedToJoinParty"	"เชิญ: {s:party_members}"
"DOTA_Chat_RequestedToJoinParty"	"ขอเข้าร่วม: {s:party_members}"
"DOTA_Chat_PartyMemberSeparator"	", "
"DOTA_Feature_Under_Construction_Title"	"อยู่ระหว่างการสร้าง"
"DOTA_Feature_Under_Construction_Text"	"คุณสมบัตินี้กำลังอยู่ระหว่างการสร้าง และยังไม่พร้อมใช้งาน"
"DOTA_Treasure_Purchase_Under_Construction_Text"	"การสั่งซื้อสมบัติยังไม่พร้อมใช้งาน แต่การสั่งซื้อจากร้านค้า Dota ยังรองรับอยู่ ดูชุดเซ็ตไอเท็มได้ที่ด้านซ้ายสุดของรายชื่อชุดเซ็ตไอเท็มที่วางจำหน่าย"
"DOTA_Marketplace_Purchase_Under_Construction_Text"	"การสั่งซื้อจากตลาดชุมชนยังไม่พร้อมใช้งาน แต่การสั่งซื้อจากร้านค้า Dota ยังรองรับอยู่ ดูชุดเซ็ตไอเท็มได้ที่ด้านซ้ายสุดของรายชื่อชุดเซ็ตไอเท็มที่วางจำหน่าย"
"DOTA_PartyJoinRequest_Title"	"คำขอเข้าร่วมปาร์ตี้"
"DOTA_PartyJoinRequest_Description"	"{g:dota_persona:b:inviter} ได้ขอเข้าร่วมปาร์ตี้ของคุณ"
"DOTA_PartyMergeRequest_Title"	"คำขอรวมปาร์ตี้"
"DOTA_PartyMergeRequest_Description"	"{g:dota_persona:b:inviter} ได้ขอให้ปาร์ตี้ของเขาเข้าร่วมปาร์ตี้ของคุณ"
"DOTA_PartyMergeRequestLowPriWarning"	"หมายเหตุ: การยอมรับคำขอนี้จำทำให้ปาร์ตี้ของคุณเปลี่ยนสถานะเป็นความสำคัญต่ำ"
"DOTA_PartyInvite_Title"	"คำเชิญปาร์ตี้"
"DOTA_Invite_IOfN"	"{d:received_invite_index} ของ {d:received_invite_count}"
"DOTA_PartyInvite_Description"	"{g:dota_persona:b:inviter} ได้เชิญคุณเข้าร่วมปาร์ตี้"
"DOTA_PartyInvite_LowPriority_Title"	"คำเชิญปาร์ตี้ความสำคัญต่ำ"
"DOTA_PartyInvite_LowPriority_Description"	"{g:dota_persona:b:inviter} ได้เชิญคุณเข้าร่วมปาร์ตี้ความสำคัญต่ำ"
"DOTA_PartyInvite_BlockPartyLeader"	"บล็อคการติดต่อสื่อสารทั้งหมดจาก {g:dota_persona:b:inviter}"
"DOTA_LobbyInvite_BlockInviter"	"บล็อคการติดต่อสื่อสารทั้งหมดจากผู้เล่นคนนี้"
"DOTA_PartyInvite_BlockNonFriendInvites"	"บล็อคคำเชิญจากผู้เล่นที่ไม่อยู่บนรายชื่อเพื่อน"
"DOTA_PartyInvite_BlockNonFriendInvitesDescription"	"สามารถเปลี่ยนได้ที่ ตัวเลือก/โปรไฟล์ บนแผงตั้งค่า"
"DOTA_PartyInvite_Expired"	"คำขอได้ถูกยกเลิก หรือไม่มีอยู่แล้ว"
"DOTA_PartyInvite_Coach"	"ผู้ฝึกสอน:"
"DOTA_PartyVisTooltip_TitleOpen"	"กำลังมองหาสมาชิกปาร์ตี้"
"DOTA_PartyVisTooltip_TitleNotOpen"	"ไม่ได้มองหาสมาชิกปาร์ตี้"
"DOTA_PartyVisTooltip_SoloNotOpen"	"คลิกเพื่อเปลี่ยนสถานะของคุณ"
"DOTA_PartyVisTooltip_SoloOpen"	"เพื่อนสามารถขอเข้าร่วมกับคุณได้<br/>คลิกเพื่อเปลี่ยนสถานะของคุณ"
"DOTA_PartyVisTooltip_LeaderOpen"	"คำขอเข้าร่วมจากเพื่อนของสมาชิกปาร์ตี้จะถูกยอมรับโดยอัตโนมัติ<br/>คลิกเพื่อเปลี่ยนสถานะเปิดปาร์ตี้ของคุณ"
"DOTA_PartyVisTooltip_LeaderOpenManualAccept"	"เพื่อนของสมาชิกปาร์ตี้สามารถขอเข้าร่วมได้<br/>คลิกเพื่อเปลี่ยนสถานะของคุณ"
"DOTA_PartyVisTooltip_LeaderNotOpen"	"เพื่อนของสมาชิกปาร์ตี้สามารถขอเข้าร่วมได้<br/>คลิกเพื่อตั้งสถานะเปิดปาร์ตี้ ซึ่งจะเพิ่มการแสดงผลที่โดดเด่นให้เพื่อนเห็น"
"DOTA_PartyVisTooltip_NotOpenHidden"	"คุณเป็นสมาชิกที่ซ่อนอยู่ในปาร์ตี้นี้ เนื่องจากการตั้งค่าความเป็นส่วนตัวของคุณ<br/>หมายเหตุ: สมาชิกปาร์ตี้คนอื่นอาจให้เพื่อนของเขาเห็นปาร์ตี้หรือขอเข้าร่วมได้"
"DOTA_PartyVisTooltip_NonLeaderOpen"	"คำขอเข้าร่วมจากเพื่อน<br/>คลิกเพื่อนปิดสถานะเปิดปาร์ตี้"
"DOTA_PartyVisTooltip_NonLeaderNotOpen"	"เพื่อนของสมาชิกปาร์ตี้สามารถขอเข้าร่วมได้<br/>เฉพาะหัวหน้าปาร์ตี้เท่านั้นที่สามารถยอมรับคำขอเข้าร่วมได้<br/>คลิกเพื่อตั้งสถานะเปิดปาร์ตี้ ซึ่งจะเพิ่มการแสดงผลที่โดดเด่นให้เพื่อนเห็น"
"DOTA_TogglePartyOpenMic_Tooltip"	"เปิด/ปิดไมค์ปาร์ตี้"
"DOTA_PartySettings"	"การตั้งค่าปาร์ตี้"
"DOTA_PartySettings_OpenParty"	"เปิดปาร์ตี้นี้เพื่อให้ขอเข้าร่วมได้"
"DOTA_PartySettings_BroadcastToFriends"	"ให้เพื่อนของฉันเห็นเมื่อฉันอยู่ในปาร์ตี้"
"DOTA_PartySettings_OpenState_NotOpen"	"หัวหน้าปาร์ตี้ได้ตั้งปาร์ตี้เป็นเปิดเพื่อให้ขอเข้าร่วมได้"
"DOTA_PartySettings_OpenState_NotOpenLeader"	"ปาร์ตี้นี้ไม่ได้เปิดให้ขอเข้าร่วม"
"DOTA_PartySettings_OpenState_OpenButHiddenFromFriends"	"ปาร์ตี้นี้เปิดให้ขอเข้าร่วมได้ คุณไม่ได้แจ้งปาร์ตี้นี้ให้เพื่อนของคุณเห็น แต่เพื่อนของสมาชิกปาร์ตี้คนอื่นอาจมองเห็นได้"
"DOTA_PartySettings_OpenState_Open"	"ปาร์ตี้นี้เปิดให้ขอเข้าร่วมได้ และเพื่อนของคุณก็มองเห็นได้ และเพื่อนของสมาชิกปาร์ตี้คนอื่นก็อาจมองเห็นได้เช่นกัน"
"DOTA_LobbyInvite_Title"	"คำเชิญล็อบบี้"
"DOTA_LobbyInvite_Description"	"{g:dota_persona:inviter} ได้เชิญคุณเข้าร่วมล็อบบี้"
"DOTA_PartyJoinedLobby_Title"	"เข้าร่วมล็อบบี้"
"DOTA_PartyJoinedLobby_Generic"	"{s:party_leader} ได้ย้ายคุณเข้าสู่ล็อบบี้"
"DOTA_PartyJoinedLobby_Custom"	"{s:party_leader} ได้ย้ายคุณเข้าสู่ล็อบบี้ {s:custom_game}"
"DOTA_PartyLeader"	"หัวหน้าปาร์ตี้"
"DOTA_LobbyKicked_Header"	"ถูกเตะออกจากล็อบบี้"
"DOTA_LobbyKicked_Message"	"คุณถูกเตะออกจากล็อบบี้โดยหัวหน้าล็อบบี้"
"DOTA_PlayerContextMenu_ViewProfile"	"ดูโปรไฟล์"
"DOTA_PlayerContextMenu_ChatWithPlayer"	"ส่งข้อความ"
"DOTA_PlayerContextMenu_InviteToParty"	"เชิญเข้าสู่ปาร์ตี้"
"DOTA_PlayerContextMenu_SuggestInviteToParty"	"แนะนำให้เชิญเข้าสู่ปาร์ตี้"
"DOTA_PlayerContextMenu_KickFromParty"	"เตะออกจากปาร์ตี้"
"DOTA_PlayerContextMenu_SetPartyLeader"	"ตั้งเป็นหัวหน้าปาร์ตี้"
"DOTA_PlayerContextMenu_LeaveParty"	"ออกจากปาร์ตี้"
"DOTA_PlayerContextMenu_CoachParty"	"ฝึกสอนปาร์ตี้นี้"
