"dota"
{
"DOTA_Accept"	"Elfogad"
"DOTA_PartyVisTooltip_NotOpenHidden"	"Rejted tagságodat ebben a társaságban barátaid elől az adatvédelmi beállításaid szerint.<br/>Megjegyzés: Más társaságtagok engedhetik barátaiknak, hogy láthassák a társaságot és kérhessék a csatlakozást."
"DOTA_PartyVisTooltip_NonLeaderOpen"	"Csatlakozáskérelem barátoktól.<br/>Kattints a Nyílt társaságállapot kikapcsolásához."
"DOTA_PartyVisTooltip_NonLeaderNotOpen"	"Társaságtagjaid barátai kérhetik a csatlakozást.<br/>Csak a társaságvezető fogadhat el csatlakozáskérelmeket.<br/>Kattints a Nyílt társaságállapot aktiváláshoz, megnövelve az előtérbehozást barátaidnál."
"DOTA_TogglePartyOpenMic_Tooltip"	"Társasági nyílt mikrofon ki/be"
"DOTA_PartySettings"	"Társaságbeállítások"
"DOTA_PartySettings_OpenParty"	"E társaság megnyitása csatlakozáskérelmekhez"
"DOTA_PartySettings_BroadcastToFriends"	"Barátaim láthatják, amikor társaságban vagyok"
"DOTA_PartySettings_OpenState_NotOpen"	"A társaságvezető nem jelölte nyíltnak a társaságot csatlakozáskérelmekhez."
"DOTA_PartySettings_OpenState_NotOpenLeader"	"Ez a társaság nem nyitott csatlakozáskérelmekre."
"DOTA_PartySettings_OpenState_OpenButHiddenFromFriends"	"Ez a társaság nyitott csatlakozáskérelmekre. Nem reklámozod ezt a társaságot barátaidnak, de más társaságtagok barátai számára látható lehet."
"DOTA_PartySettings_OpenState_Open"	"Ez a társaság nyitott csatlakozás-kérelmekre és látható barátaid, illetve más társaságtagok barátai számára is."
"DOTA_LobbyInvite_Title"	"Várómeghívó"
"DOTA_LobbyInvite_Description"	"{g:dota_persona:inviter} váróba hívott."
"DOTA_PartyJoinedLobby_Title"	"Váróhoz csatlakozva"
"DOTA_PartyJoinedLobby_Generic"	"{s:party_leader} berakott egy váróba."
"DOTA_PartyJoinedLobby_Custom"	"{s:party_leader} berakott egy {s:custom_game} váróba."
"DOTA_PartyLeader"	"Társaságvezető"
"DOTA_LobbyKicked_Header"	"Kirúgtak a váróból"
"DOTA_LobbyKicked_Message"	"A várószoba-főnök kirúgott a játékváróból."
"DOTA_PlayerContextMenu_ViewProfile"	"Profil megnézése"
"DOTA_PlayerContextMenu_ChatWithPlayer"	"Üzenet küldése"
"DOTA_PlayerContextMenu_InviteToParty"	"Társaságba hívás"
"DOTA_PlayerContextMenu_SuggestInviteToParty"	"Javaslás társaságba hívásra"
"DOTA_PlayerContextMenu_KickFromParty"	"Kirúgás a társaságból"
"DOTA_PlayerContextMenu_SetPartyLeader"	"Társaságvezető beállítása"
"DOTA_PlayerContextMenu_LeaveParty"	"Társaság elhagyása"
"DOTA_PlayerContextMenu_CoachParty"	"Társaság edzése"
"DOTA_PlayerContextMenu_StopCoachingParty"	"Társaság edzésének abbahagyása"
"DOTA_PlayerContextMenu_AddFriend"	"Barát hozzáadása"
"DOTA_PlayerContextMenu_RemoveFriend"	"Barát eltávolítása"
"DOTA_PlayerContextMenu_AcceptFriendRequest"	"Barátkérelem elfogadása"
"DOTA_PlayerContextMenu_IgnoreFriendRequest"	"Barátkérelem mellőzése"
"DOTA_PlayerContextMenu_Spectate"	"Játék nézése"
"DOTA_PlayerContextMenu_InviteToLobby"	"Váróba hívás"
"DOTA_PlayerContextMenu_SuggestInviteToLobby"	"Javaslás váróba hívásra"
"DOTA_PlayerContextMenu_KickFromLobby"	"Kirúgás a váróból"
"DOTA_PlayerContextMenu_KickFromLobbyTeam"	"Kirúgás a csapatos váróból"
"DOTA_FeaturedHero_UnableToLoad"	"Kiemelt hősök betöltése sikertelen."
"DOTA_FeaturedHero_ViewGrid"	"Rácsos nézet"
"DOTA_FeaturedHero_HeroName"	"{s:hero_name}"
"DOTA_FeaturedHero_ItemName"	"{g:dota_item_name:item_def}"
"DOTA_FeaturedHeroReason_NewHero"	"Újonnan kiadott hős"
"DOTA_FeaturedHeroReason_NewItem"	"Új {s:item_rarity}"
"DOTA_FeaturedHeroReason_FrequentlyPlayedHero"	"Mivel játszottál vele"
"DOTA_FeaturedHeroReason_FeaturedItem"	"Kiemelt tárgy"
"DOTA_FeaturedHeroReason_PopularItem"	"Legkeresettebb"
"DOTA_FeaturedHeroReason_SaleItem"	"Jelenleg akciós"
"DOTA_NewFeaturedHero_WinterWyvern"	"Fagyos szélen jő az Eldwurm."
"DOTA_HeroSelectorCategory_Default"	"Minden hős"
"DOTA_HeroSelectorCategory_NewItems"	"Új tárgyak"
"DOTA_HeroSelectorCategory_Favorites"	"Kedvencek"
"DOTA_HeroSelectorCategory_MostPlayed"	"Legtöbbet játszottjaim"
"DOTA_HeroSelectorCategory_LeastPlayed"	"Legkevesebbet játszottjaim"
"DOTA_HeroSelectorCategory_HaveItems"	"Amikhez tárgyaim vannak"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Strength"	"Erő"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Agility"	"Ügyesség"
"DOTA_HeroSelectorCategory_PrimaryAttribute_Intelligence"	"Intelligencia"
"DOTA_HeroSelectorCategory_AttackRange_Melee"	"Közelharci"
"DOTA_HeroSelectorCategory_AttackRange_Ranged"	"Távolsági"
"DOTA_HeroSelector_SelectHero_Label"	"Választás"
"DOTA_HeroSelector_ClearFilters"	"Szűrők törlése"
"DOTA_OwnedItemSet_Selector_Title"	"Megvan"
"DOTA_EquippedItemSet_Selector_Title"	"Felszerelve"
"DOTA_OwnedItemSet_Available_Title"	"Elérhető"
"DOTA_FeaturedItemSet_Selector_Title"	"Kiemelt"
"DOTA_AllItemSet_Selector_Title"	"Összes"
"DOTA_ConfirmLANLobby_title"	"HELYI VÁRÓ"
"DOTA_ConfirmLANLobby_desc"	"Helyi játék kerül futtatásra a gépeden. A rendszerkövetelmények helyi játék futtatásakor magasabbak."
"DOTA_ConfirmLANLobbyDisconnect_title"	"Kilépsz a helyi váróból?"
"DOTA_ConfirmLANLobbyDisconnect_desc"	"E játék várója a te számítógépeden fut; a lecsatlakozás a többi játékos számára is be fogja fejezni a játékot. Folytatod?"
"DOTA_ConfirmLANLobbyDisconnect_ok"	"Igen, lecsatlakozás"
"DOTA_Lobby_Settings_General"	"ÁLTALÁNOS VÁRÓBEÁLLÍTÁSOK"
"DOTA_Lobby_Settings_Required"	"SZÜKSÉGES"
"DOTA_Lobby_Settings_Confirm"	"{s:lobby_confirm_label}"
"DOTA_Lobby_Settings_Game_Mode"	"JÁTÉKMÓD"
"DOTA_Lobby_Settings_Region"	"SZERVER HELYE"
"DOTA_Lobby_Settings_Password"	"VÁRÓ JELSZAVA"
"DOTA_Lobby_Settings_Game_Name"	"JÁTÉK NEVE"
"DOTA_Lobby_Settings_Advanced"	"HALADÓ VÁRÓBEÁLLÍTÁSOK"
"DOTA_Lobby_Settings_Competitive"	"VERSENGŐ"
"DOTA_Lobby_Settings_Starting_Team"	"KEZDŐCSAPAT"
"DOTA_Lobby_Settings_Starting_Team_Random"	"VÉLETLENSZERŰ"
"DOTA_Lobby_Settings_Starting_Team_Radiant"	"RADIANT"
"DOTA_Lobby_Settings_Starting_Team_Dire"	"DIRE"
"DOTA_Lobby_Settings_Penalty_Radiant"	"BÜNTETÉS - RADIANT"
"DOTA_Lobby_Settings_Penalty_Dire"	"BÜNTETÉS - DIRE"
"DOTA_Lobby_Settings_Penalty_Level_0"	"Nincs büntetés"
"DOTA_Lobby_Settings_Penalty_Level_1"	"-30 mp tiltási szakasz"
"DOTA_Lobby_Settings_Penalty_Level_2"	"-70 mp tiltási szakasz"
"DOTA_Lobby_Settings_Penalty_Level_3"	"-110 mp tiltási szakasz"
"DOTA_Lobby_Settings_Penalty_Tooltip"	"Captain's Mode-ban ez csökkenti a csapatnak a tiltási szakaszban lévő idejét másodpercekben."
"DOTA_Lobby_Settings_Series_Type"	"SOROZAT TÍPUSA"
"DOTA_Lobby_Settings_No_Series"	"NEM SOROZAT"
"DOTA_Lobby_Settings_Series_Best_of_3"	"3-BÓL A LEGJOBB"
"DOTA_Lobby_Settings_Series_Best_of_5"	"5-BŐL A LEGJOBB"
"DOTA_Lobby_Settings_Gameplay_Rules"	"JÁTÉKSZABÁLYOK"
"DOTA_Lobby_Settings_Enable_Cheats"	"CSALÁSOK ENGEDÉLYEZÉSE"
"DOTA_Lobby_Settings_All_Chat"	"CSAPATOK KÖZTI CSEVEGÉS"
"DOTA_Lobby_Settings_Fill_Bots"	"ÜRES HELY KITÖLTÉSE BOTTAL"
"DOTA_Lobby_Settings_Bot_Difficulty"	"BOTOK NEHÉZSÉGE"
"DOTA_Lobby_Settings_Bot_Difficulty_Passive"	"PASSZÍV"
"DOTA_Lobby_Settings_Bot_Difficulty_Easy"	"KÖNNYŰ"
"DOTA_Lobby_Settings_Bot_Difficulty_Medium"	"KÖZEPES"
"DOTA_Lobby_Settings_Bot_Difficulty_Hard"	"NEHÉZ"
"DOTA_Lobby_Settings_Bot_Difficulty_Unfair"	"TISZTESSÉGTELEN"
"DOTA_Lobby_Settings_Version"	"VÁLTOZAT"
"DOTA_Lobby_Settings_Version_Latest"	"LEGÚJABB"
"DOTA_Lobby_Settings_Version_Tournament"	"BAJNOKSÁG"
"DOTA_Lobby_Settings_Spectator_Section"	"NÉZŐ"
"DOTA_Lobby_Settings_Dota_TV_Delay"	"DOTA TV KÉSLELTETÉS"
"DOTA_Lobby_Settings_Dota_TV_Delay_2_Minutes"	"2 perc"
"DOTA_Lobby_Settings_Dota_TV_Delay_5_Minutes"	"5 perc"
"DOTA_Lobby_Settings_Dota_TV_Delay_10_Seconds"	"10 másodperc"
"DOTA_Lobby_Settings_Spectators"	"NÉZŐK"
"DOTA_Lobby_Settings_Spectators_Enabled"	"ENGEDÉLYEZVE"
"DOTA_Lobby_Settings_Spectators_Disabled"	"TILTVA"
"dota_lobby_settings_hide_password"	"Jelszó elrejtése"
"dota_lobby_settings_local_host"	"Helyi játék"
"DOTA_Lobby_Settings_Visibility"	"Váró láthatósága"
"DOTA_Lobby_Settings_Visibility_Public"	"Nyilvános"
"DOTA_Lobby_Settings_Visibility_Friends"	"Barátok"
"DOTA_Lobby_Settings_Visibility_Unlisted"	"Nem listázott"
"DOTA_Lobby_Settings_Visibility_Tooltip"	"Azt szabályozza, hol látható a váró. A nyilvános várók láthatók a váróböngészőben és a barátlistán. A barát-várók csak barátoknak láthatók, bár más játékosok is meghívhatók. A nem listázott várók nem láthatók a böngészőben és a barátlistán."
"DOTA_TeamUnsetHeader"	"Nincs kiválasztva csapat"
"DOTA_TeamUnsetMessage"	"Legalább egy csapatnak nincs beállítva neve/logója. Biztosan elkezded a meccset?"
"DOTA_LeagueUnsetHeader"	"Nincs kiválasztva liga"
"DOTA_LeagueUnsetMessage"	"A váróhoz nincsen liga beállítva, pedig te hozzá tudsz adni egyet. Biztosan induljon a meccs?"
"DOTA_LobbyAllowSpectatingHeader"	"Várós játék nem indítható"
"DOTA_LobbyAllowSpectatingMessage"	"A játék nézhetőre kell legyen állítva, amikor nézők vannak a váróban. Engedélyezd a nézést a Beállítások panelen."
"dota_radiant"	"A Radiant"
"dota_dire"	"A Dire"
"dota_lobby_team_name_radiant"	"{s:team_name_good_guys}"
"dota_lobby_team_name_dire"	"{s:team_name_bad_guys}"
"dota_lobby_no_team"	"Nincs csapat"
"dota_lobby_broadcast_default_channel_name"	"Csatorna neve"
"dota_lobby_broadcast_join"	"Csatlakozás"
"dota_lobby_broadcast_leave"	"Elhagyás"
"dota_lobby_broadcast_create"	"Új csatorna létrehozása"
"dota_lobby_broadcast_no_channels"	"Nem kerültek létrehozásra közvetítői csatornák"
"dota_popup_broadcast_channel_edit_title"	"Közvetítői csatorna testreszabása"
"dota_lobby_broadcast_default_channel_name_custom"	"{s:custom_title}"
"dota_popup_broadcast_channel_edit_channel_name"	"Csatorna neve"
"dota_popup_broadcast_channel_edit_country"	"Ország"
"dota_popup_broadcast_channel_edit_language"	"Nyelv"
"dota_popup_broadcast_channel_edit_save"	"Mentés alapértelmezettként és csatlakozáskor alkalmazás üres csatornákra"
"DOTA_Lobby_Broadcaster_Channel_Other_Language"	"Más nyelv"
"lobby_slot_error_header"	"Sikertelen helyváltás"
"generic_gc_timeout"	"Üzenet-időtúllépés."
"lobby_slot_success_header"	"Siker"
"lobby_slot_denied"	"Nincs engedélyed belépni erre a helyre."
"lobby_slot_cameramanalready"	"A közvetítői csatornáknak csak egy operaőrük lehet"
"lobby_slot_cameramanon"	"Mostantól operatőrnek vagy jelölve"
"lobby_slot_cameramanoff"	"Már nem vagy operatőr"
"lobby_slot_error"	"Nem sikerült váró-helyet váltani."
"lobby_create_timeout"	"A váró létrehozása nem sikerült."
"find_match_error"	"Jelenleg nem lehet sorba állni játékkeresésre."
"DOTA_DialogVariableTest1"	"Egyszerű: {s:var}"
"DOTA_DialogVariableTest2"	"Pénzérték: {m:money}"
"DOTA_DialogVariableTest3"	"Tárgyhivatkozás: {g:dota_item_link:item_def}"
"DOTA_DialogVariableTest4"	"Tárgyár: {g:dota_item_price:item_def}"
"DOTA_DialogVariableTest5"	"Fiók azon. név: {g:dota_persona:account_id}, Pro név: {g:dota_persona:pro:account_id}"
"DOTA_DialogVariableTest6"	"Egyszerű span taggel: <span class=\"TextSpan\">{s:var}</span>"
"LobbySetting_GameMode"	"Játékmód"
"LobbySetting_GameMode_Value"	"{s:lobbysetting_gamemode}"
"LobbySetting_Bots"	"Botok"
"LobbySetting_Bots_Value"	"{s:lobbysetting_bots}"
"LobbySetting_Password"	"Jelszó"
"LobbySetting_Password_Value"	"{s:lobbysetting_password}"
"LobbySetting_Server"	"Szerver"
"LobbySetting_Server_Value"	"{s:lobbysetting_server}"
"LobbySetting_Cheats"	"Csalások"
"LobbySetting_Cheats_Value"	"{s:lobbysetting_cheats}"
"LobbySetting_Spectators"	"Nézők"
"LobbySetting_Spectators_Value"	"{s:lobbysetting_spectators}"
"LobbySetting_Visibility"	"Láthatóság"
"LobbySetting_Visibility_Value"	"{s:lobbysetting_visibility}"
"dota_lobby_lan_title"	"Helyi szerver"
"dota_lobby_coaches_none"	"Edzők: senki"
"dota_lobby_coaches"	"Edzők:"
"DOTA_Custom_Game"	"Egyedi játék"
"DOTA_Custom_Game_Info"	"Infó"
"DOTA_Custom_Game_View_Details"	"Játékrészletek megnézése"
"DOTA_Custom_Game_Author"	"{g:dota_persona:author} készítette"
"DOTA_Custom_Game_Lobby_Count"	"{d:lobby_count} váró"
"DOTA_Custom_Game_Lobby_Count_Plural"	"{d:lobby_count} váró"
"DOTA_Custom_Game_Friend_Lobbies_Alert"	"{d:friend_count} barátod van nyílt játékváróban."
"DOTA_Custom_Game_Friend_Lobbies_Alert_Plural"	"{d:friend_count} barátod van nyílt játékváróban."
"DOTA_Custom_Game_Quick_Join"	"Gyors csatlakozás"
"DOTA_Custom_Game_View_Lobbies"	"Várók megnézése"
"DOTA_Custom_Game_Find_Lobby"	"Váró keresése"
"DOTA_Custom_Game_Create_Lobby"	"Váró létrehozása"
"DOTA_Custom_Game_Game_Page"	"Játékoldal"
"DOTA_Custom_Game_Workshop_Page"	"Műhelyoldal"
"DOTA_Custom_Game_Download_Queued"	"A letöltés várakozik"
"DOTA_Custom_Game_Downloading"	"Letöltés..."
"DOTA_Custom_Game_Downloading_Percent"	"Letöltés - {d:lobby_download_percent}%"
"DOTA_Custom_Game_Needs_Update"	"Frissítés szükséges"
"DOTA_Custom_Game_Play"	"{s:game_mode_name} indítása"
"DOTA_Custom_Game_Uninstall"	"Eltávolítás"
"DOTA_Custom_Game_Install"	"Telepítés"
"DOTA_Custom_Game_Installed"	"Telepítve"
"DOTA_Custom_Game_Not_Installed"	"Nincs telepítve"
"DOTA_Custom_Game_Connect"	"Belépés a váróba"
"DOTA_Custom_Game_FileSize"	"{d:file_size} MB"
"DOTA_Custom_Game_Name"	"{s:game_mode_name}"
"DOTA_Custom_Game_Released_By"	"Megjelent: {s:release_date}</b> Készítő: <b>{g:dota_persona:author}</b>"
"DOTA_Custom_Game_Subscription"	"{s:subscriptions_count} feliratkozó"
"DOTA_Custom_Game_Subscriptions"	"{s:subscriptions_count} feliratkozó"
"DOTA_Custom_Game_Rating"	"Értékelés:"
"DOTA_Custom_Game_Release_Date"	"Megjelent:"
"DOTA_Custom_Game_Playing_Now"	"{s:player_count} jelenlegi játékos"
"DOTA_Custom_Game_Ratings_Count"	"({d:ratings_count})"
"DOTA_Custom_Game_Description"	"{s:game_description}"
"DOTA_Custom_Game_Last_Updated"	"Legutóbb frissítve: {t:r:t:last_updated}"
"DOTA_Custom_Game_Update_Note_Title"	"{s:timestamp}"
"DOTA_Custom_Game_Screenshots"	"Képernyőmentések"
"DOTA_Custom_Game_Map_Label"	"Pálya"
"DOTA_Custom_Game_Map_Any"	"Bármelyik"
"DOTA_Custom_Game_Update"	"Frissítés"
"DOTA_Custom_Game_Spectate"	"Nézés"
"DOTA_Custom_Game_Already_In_Lobby"	"Fejezd be jelenlegi játékodat e játékmód elkezdéséhez."
"DOTA_Custom_Game_Friends_Playing"	"Egyedi játékot játszó barátaid"
"DOTA_Custom_Game_Friends_In_Lobbies"	"{d:friends_in_open_lobbies} nyílt váróban"
"DOTA_Custom_Game_Friends_In_Game"	"{d:friends_in_game} barát egyedi játékban"
"DOTA_Custom_Games_Friends_Play"	"Egyedi játékok, melyeket barátaid játszanak"
"DOTA_Custom_Game_Invite_Friend"	"Barát meghívása"
"DOTA_Custom_Game_Tooltip_Subscribers"	"{d:subscriber_count} feliratkozó"
"DOTA_Custom_Game_Tooltip_Subscriber"	"{d:subscriber_count} feliratkozó"
"DOTA_Custom_Game_Most_Popular"	"Legnépszerűbb"
"DOTA_Custom_Game_Installed_Games"	"Telepített játékok"
"DOTA_Custom_Game_Favorite_Games"	"Csak kedvencek mutatása"
"DOTA_Custom_Game_Add_Favorite"	"Kedvenc"
"DOTA_Custom_Game_VotePrompt"	"Kellene segítenünk, hogy több ember tudjon erről a játékról?"
"DOTA_Custom_Game_DetailsPrompt"	"Látogasd meg a játék részleteinek az oldalát, hogy többet tudj meg, telepítsd és játssz."
"DOTA_Custom_Game_Vote_Box_Title"	"Műhelyszavazás"
"DOTA_Custom_Game_Vote_Box_Desc"	"Segíts felfedezetlen játékoknak megvetni a lábukat."
"DOTA_Custom_Game_Vote_Start"	"Szavazás kezdése"
"DOTA_Custom_Game_VoteThanks"	"Köszönjük, hogy szavaztál!"
"DOTA_Custom_Game_Vote_PrevLabel"	"Előző játék"
"DOTA_Custom_Game_Vote_NextLabel"	"Köv. játék"
"DOTA_Custom_Game_Vote_ControlsLabel"	"Műhelyszavazás"
"DOTA_Custom_Game_Vote_YesLabel"	"Igen, népszerűsítsétek!"
"DOTA_Custom_Game_Vote_NoLabel"	"Ne, dolgozni kell rajta."
"DOTA_Custom_Game_Vote_SkipLabel"	"E játék kihagyása, nincs ötletem."
"DOTA_Custom_Game_Vote_Up"	"Jó játék"
"DOTA_Custom_Game_Vote_Down"	"Dolgozni kell rajta"
"Video_Support_Coming_Soon"	"Videótámogatás hamarosan"
"DOTA_Custom_Game_Leave_Lobby"	"Váró elhagyása"
"DOTA_Custom_Game_Suggested_Title"	"Javasolt játékok"
"DOTA_Custom_Game_Suggested_Info"	"Ez a lista divatos, és pozitív szavazatokat kapó játékokat tartalmaz.<br><br>A választék 30 percenként fog változni, ugyanazt a 15 játékot mutatva be mindenkinek a közösségben egy adott időpontban."
"DOTA_Custom_Game_Addon_Restricted"	"Nem lehet végrehajtani ezt a műveletet, amíg kiegészítő-korlátozott eszközök módban fut."
"DOTA_Custom_Game_Search"	"Egyedi játékok keresése"
"DOTA_Custom_Lobby_Create_Button"	"Egyedi váró létrehozása"
"DOTA_Custom_Lobby_Settings_Title"	"Váró létrehozása"
"DOTA_Custom_Lobby_Settings_Mode"	"Játékmód"
"DOTA_Custom_Lobby_Settings_Map"	"Pálya"
"DOTA_Custom_Lobby_LobbyName"	"Elhagyható leírás"
"DOTA_Custom_Lobby_List_Desc"	"Privát várók (jelszóvédett) és nem szűrt aktív egyedi játékok listája."
"DOTA_Custom_Lobby_Public"	"Nyilvános"
"DOTA_Custom_Lobby_Passworded"	"Játékosok csak meghívással, vagy a várólista jelszóra szűrésével csatlakozhatnak ehhez a váróhoz."
"DOTA_Custom_Lobby_Join_Failed_Title"	"Csatlakozás sikertelen"
"DOTA_Custom_Lobby_Join_Failed_Reason"	"{s:join_error}"
"DOTA_Custom_Lobby_Join_Failed_Prompt"	"Szeretnél egy nyílt {s:game_name} várót keresni?"
"DOTA_Lobby_Failed_Pings"	"Nem sikerült a ping-információ összegyűjtése. Kérjük, ellenőrizd, hogy internetkapcsolatod működik-e és, hogy a Dota 2 szerverek elérhetők-e."
"DOTA_Custom_Lobby_Create_Private_Button"	"Privát váró létrehozása"
"DOTA_Custom_Lobby_Find_Private_Button"	"Privát váró keresése"
"DOTA_Custom_Lobby_Find_Private_Title"	"Privát váró keresése"
"DOTA_Custom_Lobby_Find_Private_Desc"	"Írj be egy jelszót privát váró kereséséhez:"
"DOTA_Custom_Lobby_List_Game_Header"	"Játék"
"DOTA_Custom_Lobby_List_Name_Header"	"Leírás"
"DOTA_Custom_Lobby_List_Players_Header"	"Játékosok"
"DOTA_Custom_Lobby_List_Map_Header"	"Pálya"
"DOTA_Custom_Lobby_List_Region_Header"	"Régió"
"DOTA_Custom_Lobby_List_Connection_Header"	"Kapcsolat"
"DOTA_Custom_Lobby_List_Status_Header"	"Helyi állapot"
"DOTA_Custom_Lobby_List_Game"	"{s:lobby_game}"
"DOTA_Custom_Lobby_List_Lobby_Name"	"{s:lobby_name}"
"DOTA_Custom_Lobby_List_Players"	"{s:lobby_players} / {s:lobby_max_players}"
"DOTA_Custom_Lobby_List_Map"	"{s:lobby_map}"
"DOTA_Custom_Lobby_List_Region"	"{s:lobby_region}"
"DOTA_Custom_Lobby_List_Connection"	"..."
"DOTA_Custom_Lobby_List_Status"	"{s:lobby_status}"
"DOTA_Custom_Lobby_List_Connect"	"{s:connect_button_text}"
"DOTA_Custom_Lobby_Game_Name"	"{s:game_name}"
"DOTA_Custom_Lobby_Map_Name"	"Pálya: {s:map_name}"
"DOTA_Custom_Lobby_Player_Count"	"Játékosok: {d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Player_Count_Short"	"{d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Visibility"	"Váró láthatósága"
"DOTA_Custom_Join_Chat"	"Belépés a csevegésbe"
"DOTA_Custom_Join_Chat_Member_Count"	"({d:ChatMemberCount})"
"DOTA_Custom_Leave_Chat"	"Csevegés elhagyása"
"DOTA_Custom_Game_Vote_Up_Tooltip"	"Kattints e játék támogató szavazásához a Steam Műhelyben."
"DOTA_Page_Number"	"Oldal: {d:current_page} / {d:num_pages}"
"DOTA_TabName_ModsOverview"	"Áttekintés"
"DOTA_TabName_ModsSubscribed"	"Könyvtár"
"DOTA_TabName_ModsWorkshop"	"Műhely"
"DOTA_TabName_ModsBrowse"	"Böngészés"
"DOTA_WatchTabName_Live"	"Élő"
"DOTA_WatchTabName_Featured"	"Kiemelt"
"DOTA_WatchTabName_Replays"	"Visszajátszások"
"DOTA_WatchTabName_Tournaments"	"Bajnokságok"
"DOTA_WatchTabName_Downloads"	"Letöltések"
"DOTA_WatchLive_Search"	"Hősök keresése nézésre"
"DOTA_WatchLive_DataPending"	"Élő játékok keresése..."
"DOTA_WatchLive_DataError"	"Hiba az élő játékok betöltésekor"
"DOTA_WatchLive_NoGames"	"Jelenleg nincsenek élő játékok"
"DOTA_WatchLive_Connecting"	"Várakozás a játékadatokra..."
"DOTA_WatchLive_HeroFilter"	"Szűrő: {s:hero_filter_name}"
"DOTA_WatchLive_CountSpec"	"{i:num_spectating} néző"
"DOTA_WatchLive_CountSpecFriend"	"{i:num_friends_spectating} barát és {i:num_spectating} néző"
"DOTA_WatchLive_CountSpecFriends"	"{i:num_friends_spectating} barát és {i:num_spectating} néző"
"DOTA_WatchLive_CountFriends"	"{i:num_friends_playing} barátod játszik"
"DOTA_WatchLive_ParticipantsVs"	"<font color='#ffffff'>{s:team_1}</font> <font color='#888888'>vs.</font> <font color='#ffffff'>{s:team_2}</font>"
"DOTA_WatchLive_ParticipantsMMR"	"<font color='#ffffff'>{i:mmr}</font> <font color='#888888'>az átlag JáR</font>"
"DOTA_WatchLive_ParticipantsUnranked"	"Rangsorolatlan"
"DOTA_WatchLive_Participants1"	"{s:friend_1}"
"DOTA_WatchLive_Participants2"	"{s:friend_1} és {s:friend_2}"
"DOTA_WatchLive_Participants3"	"{s:friend_1}, {s:friend_2} és {s:friend_3}"
"DOTA_WatchLive_Participants4Plus"	"{s:friend_1}, {s:friend_2}, {s:friend_3} és még {i:friend_count_over_3}..."
"DOTA_WatchLive_MatchType_MM_Kills"	"{s:game_mode}"
"DOTA_WatchLive_MatchType_MM"	"{s:game_mode}"
"DOTA_WatchLiveDotaTV"	"Nézés DotaTV-n"
"DOTA_WatchLivePurchase"	"Bajnokságbelépő szerzése: {g:dota_item_price:ticket_itemdef}"
"DOTA_WatchLiveSpectatorFriends1"	"{g:dota_persona:spectator_friend_1} néző"
"DOTA_WatchLiveSpectatorFriends2"	"{g:dota_persona:spectator_friend_1} és {g:dota_persona:spectator_friend_2} néző"
"DOTA_WatchLiveSpectatorFriends3"	"{g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2} és {g:dota_persona:spectator_friend_3} néző"
"DOTA_WatchLiveSpectatorFriends4Plus"	"{g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2}, {g:dota_persona:spectator_friend_3} és {i:spectator_friend_count_over_3} további barát nézi"
"DOTA_WatchLiveSpectatorCount"	"{i:spectator_count} néző"
"DOTA_WatchLivePreGame"	"Játék előtt"
"DOTA_WatchLive_ElapsedTime"	"Eltelt idő:"
"DOTA_WatchLive_Spectating"	"Néző:"
"DOTA_WatchReplays_TournamentsHeader"	"NÉPSZERŰ BAJNOKSÁGMECCSEK"
"DOTA_WatchReplays_FriendsHeader"	"BARÁTOK MECCSEI"
"DOTA_WatchReplays_Popular"	"NÉPSZERŰ MECCSEK"
"DOTA_WatchReplays_SavedForLater"	"ELMENTVE KÉSŐBBI MEGNÉZÉSRE"
"DOTA_WatchReplays_ParticipantsVs"	"{s:team_1} vs. {s:team_2}"
"DOTA_WatchReplays_MatchType_League"	"{s:league_name}"
"DOTA_WatchReplays_MatchType_Public"	"Meccs azon.: {s:match_id} - {s:game_mode}"
"DOTA_WatchReplays_Recommendations"	"{i:recommendations}"
"DOTA_WatchReplays_Recommendations1"	"{g:dota_persona:friend_1} + {i:recommendations}"
"DOTA_WatchReplays_Recommendations2"	"{g:dota_persona:friend_1}, {g:dota_persona:friend_2} + {i:recommendations}"
"DOTA_WatchReplays_Recommendations3Plus"	"{g:dota_persona:friend_1} + {i:friend_count_over_1} további barát + {i:recommendations}"
"DOTA_WatchReplays_Friends1"	"{g:dota_persona:b:friend_1} játszotta"
"DOTA_WatchReplays_Friends2"	"{g:dota_persona:b:friend_1} és {g:dota_persona:friend_2} játszotta"
"DOTA_WatchReplays_Friends3Plus"	"{g:dota_persona:b:friend_1}, {g:dota_persona:b:friend_2} és {i:friend_count_over_2} további barát"
"DOTA_WatchReplays_Views"	"{i:views} megtekintés"
"DOTA_WatchReplays_Price"	"{g:dota_item_price:ticket_itemdef}"
"DOTA_WatchReplays_SharedMatch"	"{g:dota_persona:shared_by} megosztotta - „{s:shared_text}”"
"DOTA_WatchReplays_SharedHighlight"	"{g:dota_persona:shared_by} megosztott egy kiemelt pillanatot"
"DOTA_WatchReplays_Duration"	"{s:minutes}:{s:seconds}"
